app_id,label,review_id,review_text
2103530,1,136581288,"Let me get something out of the way: This game is in early access. It is running, it has some flaws and needs some features.  Now to the review: The game is good. It is a lot of fun. It is basically Melvor Idle with MMO aspects. You can trade with players, you have clans, you can chat ingame. This game is a lot of fun once you get into it and start understanding the full extend. (So after 5h when you need that long) YES there is a premium you can buy for 10$ once. There are other boosts you can buy, that are for X hours. But development and server costs should be accounted for by something I would say.  The Discord is very active, a lot of helpfull people are there. The Discord is the main communication tool for the game and I suggest it for every player.  Other from that? A fun game. It is basically Melvor Idle in MMO. If you like it because of that, is up to you."
2103530,1,136580398,"I understand people's complaints with this game but you have to keep in mind it's super - like this year new. I think it's got great potential because of the multiplayer aspect, my clan is one of the top 10 in the game right now but I'm having more fun playing an idle game WITH people than I ever had with single player ones. Bear in mind I'm a mmo and idle game addict so this does just kinda slot right into my niche but it's still fun and has a good future if the dev continues improving it. Notic how I said \"dev\" and not \"devs\" - from what I've seen it's all one dude making this game"
2189970,1,136581274,Ok for a free game. But very basic and bare bone with tons of missing features expected from modern and advanced factory games.
1409300,1,136579608,"Overall, I’d call Rendezvous a decent effort. It is by no means a bad game – its cyberpunk Indonesia is well-crafted and lovely to look at, and the retro visuals work surprisingly well with the setting’s neon lights and vivid colors. The gameplay is mostly fine, too: some combat-related frustrations aside, I had fun playing detective, solving cool puzzles and sneaking around as I looked for answers and appreciated all the little details of the setting. However, what ultimately prevents me from giving this one a strong recommendation is the underdeveloped and cliché-ridden story, the generally poorly written dialogue and the inconclusive, unsatisfying ending that all hold the project back from reaching its full potential.For more honest indie game reviews, check out our Curator page: https://store.steampowered.com/curator/6481290-GTOGG/"
1949030,1,136580432,"To the team at Frogwares: You did it! The game is amazing. Graphics are beautiful and capture the atmosphere of the time and story. The story has been engrossing. I have only played a few hours so far, but if the rest of the game is anything like the beginning it will be a hit in no time. If there were stars here, out of 5... total 5 ;D Kisses to all the Frogwares team!!! You guys rock!! :D"
2166050,1,136581608,short and sweet
1772830,1,136579906,"Rusted Moss is a fantastic metroidvania game featuring memorable protagonist, Fern, and her snarky sidekick, Puck. Set in a beautiful pixel art world, the game pulls you into a captivating tale of a war between fae and humans. What sets it apart most is the grapple hook mechanic that makes exploring the huge map an absolute blast.The game's immersive story and thoughtully designed world create a atmosphere that keeps you hooked. With memorable characters and an adventure that feels fresh and exciting, Rusted Moss is a must-play for everyone who loves the Metroidvania genre."
2109430,1,136580753,"Beautiful art style, compelling story, and fun puzzles. Bear it one, looking forward to going again and seeing different outcomes based on decisions."
1772830,1,136580820,"Fantastic game, had the pleasure of playing the hell outta the demo and the new content I've played so far has been fantastic"
1772830,1,136580077,I hate kids.
1811990,1,136581942,"This game is a lovely blend of everything I enjoy about both Slay the Spire and Monster Train. If you're a fan of either of those or just enjoy tactical deck-building games, you'll probably love Wildfrost. The art style is incredibly charming, and I can't seem to put it down. Highly recommend."
2216700,1,136581796,its fun when i defeat the boss and he becomes a bigger challenge after leveling upits feels like dark souls in card style although but challenging especially after dying alot i need more cards
2216700,0,136579850,its easy to learn and challenging enough annoyingly truly
1811990,1,136580383,"Amazing roguelike deckbuilder. The art style is very pleasing to the eyes :) Although the game is a bit difficult, it is definitely worth playing through for anyone who's up for a challenge!I LOVE CARD GAMES"
1811990,1,136580758,Lost the first ever daily challenge because i exploded everything including myself. Great game.
1811990,1,136579681,"Incredible game. So much personality, loads of replayability and depth of strategy for such an easily-learned card brawler. I'm a huge fan of Slay the Spire, Monster Train, and Vault of the Void - this game is at least as good if not outright better than all of those."
1811990,1,136580382,The game is amazing. Also watched RTGame play this and got hooked
1811990,1,136579102,"Good Game, but Fuck Mokoko. I hate that monkey so much."
1811990,1,136579778,Very cute and fun game
307950,1,136581803,good game
2094270,1,136580033,"This game is very interesting, unfortunately one what I'd call \"Part 1\" of the game has been released. It is very expansive though. I've only gone through the game once and that took about 7 hours. There are a few bugs and several grammatical errors as well as missing words on occasion, but it's not too terrible. I'm looking forward to the release of the next parts in this story. It's all very interesting so I do happily recommend it."
