app_id,label,review_id,review_text
2248580,1,136512581,"A Delightful and Heartwarming Visual Novel Experience!Lovely Crush provides a charming and heartwarming visual novel experience that leaves players feeling satisfied and entertained. The art style is beautiful and appealing, complementing the well-written storyline and engaging character interactions. Players will find themselves drawn into the world and invested in the relationships that unfold. The game offers multiple endings, adding replayability and encouraging players to explore various outcomes. Lovely Crush is a delightful gem in the visual novel genre, perfect for fans seeking a captivating, emotional, and enjoyable gaming experience."
1934040,1,136513114,"This is the only game I'm willing to play all day long. Good graphics with interesting gameplay and it all works on a weak computer - it's awesome.Of the good things to note are. Comfortable camera Interesting-big game world Lots of mobs Fascinating game with lots of biomesNo computer requirements On the downside. There is only one minus that I could find- Stupid mobs while fighting them, you can easily hide from them In conclusion, we can say that this is a great project, which is actively developing with good support from the developers"
2334560,0,136513050,"The concept and art are fine, but the game's mechanics and other design decisions prevent it from being enjoyable to play. The protagonist of the tale is a mixed-race fox who aspires to be something other than an alcoholic slacker. Let's just say that the story is quite basic and that your overall goal is to change your destiny.The game plays like any other action/platformer. You can jump, scale walls, and attack. You immediately realize that the stamina system is involved in all actions, which is fine when done correctly and just for certain acts. However, in this game it’s highly aggravating because jumping also depletes your stamina. Platformers require a lot of jumping, thus you'll spend most of your time waiting for it to fully recharge before making a jump. Then wait once again on the following platform. And again.The same goes for combat. Each battle becomes a chore due to the very slow recharge. You're moving around wasting a lot of your stamina trying to gather enough for just one hit. When you have enough experience points, you can increase your stats, but you must first kill enemies who use a totally absurd mechanic.Enemies are brainless. They will follow you anywhere you go if you are in their line of sight, including across ledges, into pits, under spikes, etc. It is usually simpler to lure them into traps, which kill them and leave their corpse hovering in the air.The game goes with old-school style of progress, which means linear path and no option to revisit stages. Even if stages include numerous paths and secret spots with gold and treasure, it's difficult to collect everything because it's so easy to die. Furthermore, if you just head for the exit, you can make things much tougher for yourself because each coin and experience point is valuable.The overall difficulty of the game was the final straw that broke my back. There are traps everywhere, coming out of nowhere and taking cheap shots at you. Even if you survive falling into a hole, you most likely won't have the strength to climb out.What makes this even more annoying is the lack of checkpoints. If you die, everything you collect is lost and entire progress reset. Any kind of exploration is entirely discouraged because you don’t want to spend time by carefully navigating the stage, collecting everything you can and then get killed by a stray arrow."
1400910,1,136514066,"Waited for 1.0 to drop to put this out finally.This game is a MASSIVE step up from the first game in every way. The music, the movement, the effects, the editor, literally everything. All of the tracks are diverse with different genres that one or two might have a special place in your heart, the movement being silky smooth makes the experience much more better and doesn't feel clunky at all, (unlike Soundodger+) the effects give the levels a much more stronger vibe to them and the freedom you have in the editor this time is insane. The game can sometimes not be very friendly with new players I'm gonna be honest and adding the shatter system on top of that can definitely ruin a players experience if they just want to play all of the levels for fun, but for people who want a challenge will most likely enjoy it. I've mostly spent my time on the editor on this game, but the main levels are really fun to play and the challenge level have cool mechanics that challenge your skill in unique and different ways. The easy and normal levels sometimes can feel lackluster, boring, slow, empty, etc. The advanced and expert levels can give you the real fun of the game. (though sometimes they're a big difficulty jump from their easier counterparts.)Overall If you're really into bullet hell, this game is a must have. It's really fun and its tracks are absolute bangers."
2248580,1,136512233,"OMG, this game is sooo cute and fun! 😍 I love finding the cats and turning them back into catgirls. They are all so adorable and sweet. The puzzles are easy but not boring, and the music is relaxing and soothing. I feel like I’m in a kawaii paradise when I play this game. 💕The best part is that there are so many catgirls to choose from, and they all have different personalities and styles. I can’t decide which one is my favorite. Maybe the pink one with the glasses, or the blue one with the bow. They are all so purrfect! 😻This game is a must-play for anyone who loves cats, anime, or just cute things in general. It will make you smile and melt your heart. I give it 5 stars and two paws up! 🌟🌟🌟🌟🌟🐾🐾"
2364250,1,136512230,"It's like a tough and unfair life, where we start with a small store and a small budget to develop to a large chain of stores."
1409300,0,136513866,"This game supposed to be fun, but there was this moment when I move my MC Setyo the game got stuck or choppy or laggy or whatever it is.I hope the other players who got excited over this game didn't share the same experience as I do.Please, optimized the game, thank you."
1729900,1,135237351,"[h1]Before I played Rhythm Brawl, I had a small pp, no friends, no gf, depression, and no life. These things havent changed, but the game is pretty good[/h1]"
1729900,1,122580797,"cool, has potential but i think the drawings should be done before anything else."
1729900,1,125559837,ms paint rhythm my belowed
1729900,0,121230865,"Rhythm Brawl, unlike most games I don't recommend, has A LOT of promise. I VERY MUCH so hope this game gets an update that fixes all issues, because I believe that this game could be something magical if fixed in the future. also I HIGHLY encourage the developer/developers to reply to this message once an update is put out! I would love to change this review to a recommend.First off, A LOT of the art is unfinished. I'm of the belief that if you plan on making a commercial product, you HAVE to finish those kinds of assets beforehand. I understand this game is in Early Access, but this feels like an EARLY EARLY ACCESS. A would love to also see different character have different passive abilities and maybe an attack move that's different per character. More music would be awesome as well. Along with this, online play would be huge for a game like this. My final thoughts are that if you add Steam Workshop this could be the defacto Rhythm Fighting game that people have been begging for. You have something special here. Please add Steam Workshop. Other than that, if the game fixes these issues, this will be an incredible game."
1729900,1,121311975,I get more points than NPC and still lose what wrong with game.
